2025-12-31 11:44:42.936 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'serverAnnotatedBeanRegistry' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration$ServerMcpAnnotatedBeans] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-12-31 11:44:42.950 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.ai.mcp.server.annotation-scanner-org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerProperties' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-12-31 11:44:43.306 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable tools capabilities, notification: true
2025-12-31 11:44:43.308 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Registered tools: 6
2025-12-31 11:44:43.308 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources capabilities, notification: true
2025-12-31 11:44:43.308 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources templates capabilities, notification: true
2025-12-31 11:44:43.309 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable prompts capabilities, notification: true
2025-12-31 11:44:43.309 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable completions capabilities
2025-12-31 11:44:43.500 INFO  [pool-2-thread-1] i.m.server.McpAsyncServer - Client initialize request - Protocol: 2024-11-05, Capabilities: ClientCapabilities[experimental=null, roots=null, sampling=null, elicitation=null], Info: Implementation[name=spring-ai-mcp-client - ch12-mcp-server-stdio-filesystem, title=ch12-mcp-server-stdio-filesystem, version=1.0.0]
2025-12-31 11:44:43.699 INFO  [main] com.example.demo.DemoApplication - Started DemoApplication in 1.804 seconds (process running for 2.594)
2025-12-31 11:56:56.249 INFO  [main] com.example.demo.DemoApplication - Starting DemoApplication v0.0.1-SNAPSHOT using Java 21.0.7 with PID 59420 (D:\Work\spring-ai\출판\2판\소스\projects\ch12-mcp-server-stdio-filesystem\build\libs\ch12-mcp-server-stdio-filesystem-0.0.1-SNAPSHOT.jar started by blueskii in D:\Work\spring-ai\출판\2판\소스\projects\ch12-mcp-server-stdio-application)
2025-12-31 11:56:56.252 INFO  [main] com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
2025-12-31 11:56:56.888 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-12-31 11:56:56.890 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'serverAnnotatedBeanRegistry' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration$ServerMcpAnnotatedBeans] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
